agency,description,phone_number,insurance
American Truecare Inc DBA Alliance True Care,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth o Homeless families or unaccompanied children/youth Individuals at risk for avoidable hospital or ED utilization o Adults o Children/youth Individuals with Serious Mental Health and/or SUD Needs o Adults o Children/youth Adults living in the community at risk for LTC institutionalization Adult nursing facility residents transitioning to the community Children and youth enrolled in CCS or CCS WCM with additional needs beyond the CCS condition Children and Youth involved in child welfare, Not a CS provider",(916) 821-1505,Kaiser
Amity Foundation,"Individuals transitioning from incarceration o Adults o Children/youth, Not a CS provider",(213) 741-2276,Kaiser
California Health Collaborative,"Individuals at risk for avoidable hospital or ED utilization o Adults Adults living in the community at risk for LTC institutionalization Adult nursing facility residents transitioning to the community Birth equity POF, Nursing Facility Transition/Diversion to Assisted Living Facilities A Community Transition Services/Nursing Facility Transition to a Home A Asthma Remediation A",(916) 374-7739,Anthem
Community Health Works,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth Individuals at risk for avoidable hospital or ED utilization o Adults Individuals with Serious Mental Health and/or SUD Needs o Adults Individuals transitioning from incarceration o Adults, Housing Tenancy and Sustaining Services Housing Transition Navigation Services Short-Term Post-Hospitalization Housing",(916) 414-8333,Kaiser
Elica Health Centers,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth A,H,M Individuals at risk for avoidable hospital or ED utilization o Adults A,H,M Individuals with Serious Mental Health and/or SUD Needs o Adults A,H,M Adults living in the community at risk for LTC institutionalization M Adult nursing facility residents transitioning to the community M, Not a CS provider",9164542345,"Anthem, HealthNet, Molina"
Environmental Alternatives dba EA Family Services,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth A,H,K o Homeless families or unaccompanied children/youth A,H,K Individuals at risk for avoidable hospital or ED utilization o Adults A,K o Children/youth A,H,K Individuals with Serious Mental Health and/or SUD Needs o Adults A,H o Children/youth A,H Individuals transitioning from incarceration o Adults A,H,K o Children/youth A,H,K Children and youth enrolled in CCS or CCS WCM with additional needs beyond the CCS condition A,K Children and Youth involved in child welfare A,H,K, Housing Transition Navigation Services A,H,K Housing Deposits A,H,K Housing Tenancy and Sustaining Services A,H,K",(530) 283-3330,"Anthem, HealthNet, Kaiser"
Health & Life Organization HALO dba Sacramento Community Clinic,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth o Homeless families or unaccompanied children/youth Individuals at risk for avoidable hospital or ED utilization o Adults o Children/youth Individuals with Serious Mental Health and/or SUD Needs o Adults o Children/youth Individuals transitioning from incarceration o Adults o Children/youth Adults living in the community at risk for LTC institutionalization Adult nursing facility residents transitioning to the community Children and Youth involved in child welfare Birth equity POF, Not a CS provider",(916) 642-1867,Anthem
"Harmony Homes for Healing Foundation, Inc","Not an ECM provider, Housing Deposits Housing Tenancy and Sustaining Services Housing Transition Navigation Services Short-Term Post-Hospitalization Housing",(510) 906-8299,Kaiser
Healthy Community Forum for the Greater Sacramento Region DBA Community Health Works,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth o Homeless families or unaccompanied children/youth Individuals at risk for avoidable hospital or ED utilization o Adults Individuals with Serious Mental Health and/or SUD Needs o Adults Individuals transitioning from incarceration o Adults, Housing Deposits Housing Tenancy and Sustaining Services",(916) 414-8333,"Anthem, HealthNet, Kaiser"
Home & Healthcare Management,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth A,H,K Individuals at risk for avoidable hospital or ED utilization o Adults A,H,K o Children/youth K Individuals with Serious Mental Health and/or SUD Needs o Adults A,H Individuals transitioning from incarceration o Children/youth H Adults living in the community at risk for LTC institutionalization A,H,K Adult nursing facility residents transitioning to the community A,H,K Birth equity POF K Children and youth enrolled in CCS or CCS WCM with additional needs beyond the CCS condition K Children and Youth involved in child welfare K, Housing Tenancy and Sustaining Services A Housing Transition Navigation Services A Environmental Accessibility Adaptations Home Modifications A Nursing Facility Transition/Diversion to Assisted Living Facilities A Community Transition Services/Nursing Facility Transition to a Home A Asthma Remediation A",(1800) 400-0727,"Anthem, HealthNet, Kaiser"
Hope Cooperative,"Not an ECM provider, Housing Deposits Housing Tenancy and Sustaining Services Housing Transition Navigation Services",(916) 993-4131,HealthNet
Independent Living Systems,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth A,H,K o Homeless families or unaccompanied children/youth A,H,K Individuals at risk for avoidable hospital or ED utilization o Adults A,H,K o Children/youth H,K Individuals with Serious Mental Health and/or SUD Needs o Adults A,H,K o Children/youth H,K Adults Living in the Community and At Risk for LTC Institutionalization H,K Adult nursing facility residents transitioning to the community H,K Individuals transitioning from incarceration o Adults A,H Children and youth enrolled in CCS or CCS WCM with additional needs beyond the CCS condition H Children and Youth involved in child welfare H,K, Housing Deposits K Housing Tenancy and Sustaining Services A,K Housing Transition Navigation Services A,K Medically Tailored Meals/Medically-Supportive Food A Community Transition Services/Nursing Facility Transition to a Home K Nursing Facility Transition/Diversion to Assisted Living Facilities K",(305) 262-1292,"Anthem, HealthNet, Kaiser"
Institute of Aging,"Individuals Experiencing Homelessness o Adults without Dependent Children/Youth Individuals at risk for avoidable hospital or ED utilization o Adults Individuals with Serious Mental Health and/or SUD Needs o Adults Adults living in the community at risk for LTC institutionalization Adult nursing facility residents transitioning to the community, Not a CS provider",(415) 750-4111,Molina
