agency,services,service_category,address,phone
Project Sentinel,"Sentinel assists individuals with housing problems such as discrimination, mortgage foreclosure & delinquenc",Housing,1010 hurley way #500,4087209888
IRS Sacramento,,IRS,4330 Watt Ave,8008291040
Roads Home,"Veterans housing services, homelessness services for veterans. Jay:",vets,2701 k Street Suite 101,8332554899
Life Payee,Representative Payee Services ... we serve and to improve their quality of life by providing the highest standard of living possible with the resources available.,Money,"2640 Cordova Ln, Rancho Cordova, CA 95670",8666223098
albertos Room & Board,"Provides a room and board , both Kenneth smith and Ismael are current residents at his room and board",Shelter,1738 Bell Street,9162147895
Mark Pet Services,Dog grooming volunteer,Pets,mobile,9162236483
California Lifeline Free Smart Phones,Provides Obama's Phones,phone,"2949 Fulton Ave, Ste A",9162415581
Senior Safe House,Senior housing and homeless services. Multiple locations,elders,3434 Marconi Ave,9162653400
North 5th VOA,"Women and Men , 90 day shelter program. Referrals only MAYBE??",shelter,700 North 5th Sacramento CA 95811,9162653400
Hope Cooperative,,mental,,9162673547
Respite Center,inpatient 23 hour holds,Respite,9916 Zion Way Sacramento 95827,9162874860
The Grove,"SHRA tiny homes/cabins 1824 year olds only, Have to be registered with wind first to be on list to move in there",youth,"2787 Grove Ave, Sacramento CA 95815",9162874860
CEPs,Payee service for those with income/ssi/disability etc. and connects people to a room and board,Money,"3111 Fulton Ave, Sacramento, CA 95821",9163481980
LuMien Community Services,"Planned respite through events for youth , adults and older adults of the Mien community",youth,,9163833083
Wellness and Recovery Center WRC Respite,Group and other wellness services,Respite,"7171 Bowling Drive, STE 300, Sacramento",9163949195
GoodU goodwill Job,Job Training  Paid by Lynette,all,,9163959000
Travelers Aid,Motel Vouchers for Family or COVID positive people,MOTEL,,9163999646
Shelia,"Transport service, Cash, Card. Zelle, venmo. Sweet lady knows Mike Jones",Transport,,9164001750
SSIP South Sac Interfaith Partnership,Provides large donation of airline food and other snacks,food,"5625 24th Street, Sacramento CA 95822",9164285290
El Hogar,"Outpatient medication and mental health support services to adults experiencing homelessness and struggling with mental health challenges mental health services, outreach, case management, housing services",mental,,9164401500
CEPs Downtown,"We are the representative payee of choice because we make a difference by offering solutions, support, and referrals in our community. We research both current services to increase efficiency and the expansion of new services through a network of related businesses to attract new clients and better serve existing clients.",Money,need new address,9164411900
Salvation Army,"Homeless Shelter, LGBTQ Support,Disaster relief, food Pantries, Grassroots services, Life skills to escape poverty, alcohol and drug rehab, Spiritual Healing, Job training, Summer camps, Solutions to human trafficking, Veteran services, services for the aging, Domestic abuse, Afterschool programs.",all,1615 D st,9164415267
Sacramento LGBT Community Center:Q spot,LGBTQIA TEENs and TAYs in crisis. Dropin respite and support groups for youth ages 13 to 23,LGBTQ,,9164420185
Lambda Lounge,LGBTQfriendly planned and dropin respite,LGBTQ,,9164420185
Salvation Army,,shelter,12th & North B St,9164420331
Next Move Homeless Services,"Bus passes, Clothing donation, veteran's services, Resource coaching, California identification, Diversion program, Hygiene kits, Notary services, job development center",all,1422 C st,9164432646
Jail visitation,"Jail visits, Human interaction and listening ear,",all,,9164460368
Tommy clinkenbeard,"Legal clinic, legal advicefrom volunteer lawyers, conducts warrant checks, manages courtordered community service sentences to minimize incarceration rates among people experiencing homelessness",Legal,,9164460368
Loaves and Fishes,"Dining Room600800 meals every day,Friendship park, community service, Mercy clinic, spokes & wrenches, library, mercer veterinary clinic, spiritual companions ministry",food,1351 North C st,9164460874
Anneke's haven,Kennel service for the pets of Loaves & Fishes' guests.,pets,,9164460874
