agency,description,address,phone_number
"El Hogar Community Services, Inc. - CORE Marigold",Adult General & Specialized Mental Health Services,"8421 Auburn Blvd, Suite 162 & 164 Citrus Heights, 95610 ",(916) 441-3819
Bay Area Community Services Inc,Adult General & Specialized Mental Health Services,"9333 Tech Center Drive, Suite 100 Sacramento, 95826 ",(916) 379-7964
Bay Area Community Services Inc - CORE Cedar,Adult General & Specialized Mental Health Services,"4600 47th Avenue, Suite 111 & 211 Sacramento, 95824 ",(916) 318-0141
Bay Area Community Services Inc - CORE Sycamore,Adult General & Specialized Mental Health Services,"9343 Tech Center Drive, Suite 175 & 185 Sacramento, 95826 ",(916) 800-4924
Bay Area Community Services Inc - CORE Willow,Adult General & Specialized Mental Health Services,"7171 Bowling Drive Sacramento, 95823 ",(916) 270-6994
"El Hogar Community Services, Inc. - CORE Mariposa",Adult General & Specialized Mental Health Services,"600 Bercut Drive Sacramento, 95811 ",(916) 440-1500
"El Hogar Community Services, Inc. (Community Justice Support Team)",Adult General & Specialized Mental Health Services,"4433 Florin Road Suite 600 Sacramento, 95823 ",(916) 234-2577
"El Hogar Community Services, Inc. (Sierra Elder Wellness Program)",Adult General & Specialized Mental Health Services,"630 Bercut Drive, Suite C Sacramento, 95811",(916) 363-1553
God's Love Outreach Ministries,Adult General & Specialized Mental Health Services,"1111 W. Tokay Street Lodi, 95240 ",(925) 999-4119
Psynergy Folsom Sacramento,Adult General & Specialized Mental Health Services,"9343 Tech Center Drive, Suite 110 Sacramento, 95826",(916) 457-3129
Psynergy Roosevelt Clinic,Adult General & Specialized Mental Health Services,"4604A Roosevelt Ave Sacramento, 95820 ",(916) 457-3129
Sacramento County Mental Health - Adult Psychiatric Support Services Clinic,Adult General & Specialized Mental Health Services,"2130 Stockton Blvd. Suites 100, 200 Sacramento, 95817 ",(916) 875-0701
Star View Children and Family Services - 'The STAY',Adult General & Specialized Mental Health Services,"3815 Marconi Ave Sacramento, 95821 ",(916) 877-5994
Telecare ARISE,Adult General & Specialized Mental Health Services,"1103 N B Street, Suite E Sacramento, 95811 ",(916) 378-8266
Telecare EMPOWER IST,Adult General & Specialized Mental Health Services,"1103 N. B Street, Suite E Sacramento, 95811",(916) 378-8266
Telecare OASIS,Adult General & Specialized Mental Health Services,"1103 N B Street Suite D & E Sacramento, 95811 ",(916) 378-8266
Telecare Sacramento Outreach Adult Recovery (SOAR),Adult General & Specialized Mental Health Services,"900 Fulton Avenue, Suite 205 Sacramento, 95825",(916) 484-3570
"TLCS, Inc. - Hope CORE",Adult General & Specialized Mental Health Services,"3737 Marconi Ave Sacramento, 95821 ",(916) 480-1801
"TLCS, Inc. - Hope CORE",Adult General & Specialized Mental Health Services,"650 Howe Ave, Building 400-A Sacramento, 95825 ",(916) 485-6500
"TLCS, Inc. - Hope CORE",Adult General & Specialized Mental Health Services,"1400 X Street Sacramento, 95818 ",(916) 738-7400
"TLCS, Inc. (New Direction - Transforming Lives, Cultivating Success)",Adult General & Specialized Mental Health Services,"650 Howe Avenue, Bldg. 400-B Sacramento, 95825 ",(916) 993-4131
Turning Point Community Programs - CORE Elk Grove,Adult General & Specialized Mental Health Services,"9340 Stockton Blvd Elk Grove, 95624 ",(916) 509-8189
Turning Point Community Programs - CORE Madison,Adult General & Specialized Mental Health Services,"3628 Madison Ave, Suite 6 North Highlands, 95660 ",(916) 388-3231
Turning Point Community Programs - CORE Rosin,Adult General & Specialized Mental Health Services,"3810 Rosin Court, Suite 170 Sacramento, 95834 ",(916) 567-4222
Turning Point Community Programs - Crisis Residential II,Adult General & Specialized Mental Health Services,"505 M Street Rio Linda, 95673 ",(916) 559-5686
Turning Point Community Programs - Crisis Residential III,Adult General & Specialized Mental Health Services,"7415 Henrietta Drive Sacramento, 95822 ",(916) 364-8395
Turning Point Community Programs - Crisis Residential IV,Adult General & Specialized Mental Health Services,"3440 Viking Drive Sacramento, 95827 ",(916) 559-5686
Turning Point Community Programs - Integrated Services Agency (ISA),Adult General & Specialized Mental Health Services,"6950 65th Street Sacramento, 95823 ",(916) 393-1222
Turning Point Community Programs - Pathways,Adult General & Specialized Mental Health Services,"3947 Lennane Dr, Suite 110 Sacramento, 95834",(916) 283-8280
WellSpace Health-Crisis Receiving for Behavioral Health,Adult General & Specialized Mental Health Services,"631 H Street Sacramento, 95814 ",(916) 469-4714
Asian Pacific Community Counseling **,Children's & Adult General & Specialized Mental Health Services,"7273 14th Avenue, Suite 120-B Sacramento, 95820 ",(916) 383-6783
HeartLand Child & Family Services,Children's & Adult General & Specialized Mental Health Services,"3833 Stockton Blvd, Suite 485 Sacramento, 95823 ",(916) 942-9060
