agency,phone_number,address
Cares Community Health dba One Community Health Wind Youth Campus,9164433299,"815 S Street  STE 1,24,&amp; 25, SACRAMENTO, 95811-7064"
WellSpace Health Tom Gagen Community Health Center,9165698650,"631 H ST, SACRAMENTO, 95814-2302"
Elica Health Centers - V Street Medical Center,9164542345,"923 V St, Sacramento, 95818-1331"
WellSpace Health - J Street Community Health Center,9163138400,"1820 J Street, Sacramento, 95811-3010"
Cares Community Health dba One Community Health - Midtown,9169146234,"1500 21st St Bldg B, Sacramento, 95811-5216"
One Community Health Mobile Unit,9164433299,"1500 21st Street (Parking Lot), Sacramento, 95811"
Cares Community Health dba One Community Health - Midtown,9164433299,"1500 21st Street, Basement, 1st Floor, 2nd Floor/East Wing  BLDG A, Sacramento, 95811"
WellSpace Health Interim Care Program at The Salvation Army,9163208622,"1200 North B Street, Sacramento, 95811-0603"
SCHC Loaves and Fishes Health Center,9168749456,"401 N 12th St, Sacramento, 95811-0511"
Elica Health Centers,9164542345,"155 15th St, West Sacramento, 95691-3737"
Vida Family Health Center,9169142650,"954 Sacramento Ave, West Sacramento, 95605-1904"
Salud Health Center,9164032900,"500B Jefferson Blvd  STE 180 &amp; 195, West Sacramento, 95605"
WellSpace Health - Alhambra Community Health Center,9167375555,"2425 Alhambra Blvd, Sacramento, 95817-1110"
Elica Health Centers - Midtown Medical Center,9164542345,"3701 J St Ste 103, Sacramento, 95816-5542"
Elica Health Centers - Midtown,9164542345,"3701 J St Ste 201, Sacramento, 95816-5542"
Elica Health Centers - Midtown Medical Center,9164542345,"3701 J St Ste 104, Sacramento, 95816-5542"
Elica Health Centers Health On Wheels,9164542345,"3701 J ST, SACRAMENTO, 95816-5562"
Elica Health Centers - Midtown Medical Center,9164542345,"3701 J St Ste 100, Sacramento, 95816-5542"
Riverbank Elementary School,9163757600,"1100 Carrie St, West Sacramento, 95605-2046"
WellSpace Health - Oak Park Community Health Center,9162334920,"3415 Martin Luther King Jr Blvd, Sacramento, 95817-3648"
Elica Health Centers - Halyard Medical Center,9164542345,"1276 Halyard Dr, West Sacramento, 95691-3412"
Elica Health Centers  Health On Wheels 2,9164542345,"1276 Halyard Dr, West Sacramento, 95691-3412"
Elica Health Centers Health On Wheels 3,9164542345,"1276 Halyard Dr, West Sacramento, 95691-3412"
Elica Health Centers Health On Wheels 4,9164542345,"1276 Halyard Dr, West Sacramento, 95691-3412"
Mobile Medical Center,9168749670,"4600 BROADWAY, SACRAMENTO, 95820-1527"
Sacramento County Primary Care Center,9168749777,"4600 BROADWAY, SACRAMENTO, 95820-1527"
Sacramento Community Clinic - Del Paso Dental,9166421890,"2138 Del Paso Blvd, Sacramento, 95815-3002"
Sacramento Community Clinic - Del Paso,9169247988,"2200 Del Paso Blvd, Sacramento, 95815-3102"
Sacramento Community Clinic- El Camino,9166421867,"965 El Camino Ave, Sacramento, 95815-2530"
Las Palmas Elementary School,9165662700,"477 Las Palmas Ave, Sacramento, 95815-1605"
Elica Health Centers - Franklin Medical Center,9164542345,"5385 Franklin Blvd Ste K, Sacramento, 95820-4717"
Elica Health Centers - Cadillac Drive,9164542345,"77 Cadillac Drive  STE 200, Sacramento, 95825"
WellSpace Health - Gregory Bunker Community Health Center,9167375555,"4990 Stockton Blvd, Sacramento, 95820-5406"
Cares Community Health dba One Community Health Arden-Arcade Campus,9164433299,"1442 Ethan Way Ste 100, Sacramento, 95825-2232"
Peach Tree North Sacramento,5307493242,"3810 Rosin Ct Ste 100, Sacramento, 95834-1657"
WellSpace Health at Boulevard Court,9167375555,"5321 Stockton Blvd., Sacramento, 95820-5411"
